finding_id,audit_id,severity,category,iosa_discipline_code,standard_ref,description,risk_index,date_raised,date_closed,due_date,status,repeat_flag,root_cause,responsible_owner,probability_score,closed_on_time
3530,246,Medium,Training,MNT,MNT 2.6.1,Synthetic finding 3530 in training category.,10,2023-09-15,,2023-10-29,Overdue,False,Procedure not followed,Owner 04,5,False
3531,247,High,Equipment,DSP,DSP 1.8.3,Synthetic finding 3531 in equipment category.,12,2023-10-29,2023-12-22,2023-12-30,Closed,False,Procedure not followed,Owner 14,3,True
3532,247,Low,Equipment,ORG,ORG 2.4.4,Synthetic finding 3532 in equipment category.,3,2023-10-22,2023-12-18,2023-12-16,Closed,False,Documentation gap,Owner 15,3,False
3533,247,Low,Human Factors,FLT,FLT 3.11.20,Synthetic finding 3533 in human factors category.,2,2023-10-22,2023-12-16,2024-01-17,Closed,False,Documentation gap,Owner 13,2,True
3534,247,Low,Facilities,FLT,FLT 3.12.5,Synthetic finding 3534 in facilities category.,2,2023-10-27,2023-11-25,2024-01-14,Closed,False,Documentation gap,Owner 08,2,True
3535,247,Medium,Operations,FLT,FLT 2.2.42,Synthetic finding 3535 in operations category.,2,2023-10-25,2023-12-08,2023-12-18,Closed,True,Procedure not followed,Owner 06,1,True
3536,247,Low,Documentation,ORG,ORG 3.5.2,Synthetic finding 3536 in documentation category.,1,2023-10-20,2023-11-27,2024-01-09,Closed,False,Training gap,Owner 15,1,True
3537,247,Critical,Equipment,DSP,DSP 4.5.3,Synthetic finding 3537 in equipment category.,15,2023-10-23,2023-11-28,2024-01-09,Closed,False,Process design,Owner 02,3,True
3538,247,Medium,Human Factors,DSP,DSP 3.2.9A,Synthetic finding 3538 in human factors category.,2,2023-10-20,2023-12-14,2024-01-11,Closed,False,Training gap,Owner 08,1,True
3539,247,Medium,Training,ORG,ORG 1.7.9,Synthetic finding 3539 in training category.,2,2023-10-21,2023-12-06,2024-01-19,Closed,False,Documentation gap,Owner 15,1,True
3540,247,High,Facilities,DSP,DSP 3.2.7,Synthetic finding 3540 in facilities category.,16,2023-10-25,,2024-01-18,Overdue,False,Documentation gap,Owner 12,4,False
3541,247,Low,Training,DSP,DSP 4.3.8,Synthetic finding 3541 in training category.,2,2023-10-24,2023-12-15,2023-12-04,Closed,False,Training gap,Owner 10,2,False
3542,247,Medium,Equipment,FLT,FLT 3.3.5,Synthetic finding 3542 in equipment category.,2,2023-10-27,,2023-12-20,Overdue,True,Training gap,Owner 06,1,False
3543,247,Critical,Training,ORG,ORG 1.7.6,Synthetic finding 3543 in training category.,15,2023-10-18,2023-12-02,2023-11-26,Closed,False,Resource limitation,Owner 20,3,False
3544,247,Medium,Training,DSP,DSP 3.6.3,Synthetic finding 3544 in training category.,2,2023-10-23,,2023-12-22,Overdue,False,Resource limitation,Owner 17,1,False
3545,247,Low,Training,ORG,ORG 1.7.2,Synthetic finding 3545 in training category.,2,2023-10-28,2023-11-30,2024-01-24,Closed,False,Process design,Owner 11,2,True
3546,247,Low,Training,ORG,ORG 2.2.4,Synthetic finding 3546 in training category.,3,2023-10-21,2023-12-16,2023-11-23,Closed,False,Training gap,Owner 06,3,False
3547,247,Low,Operations,DSP,DSP 3.2.7,Synthetic finding 3547 in operations category.,4,2023-10-30,,2024-01-10,Overdue,False,Documentation gap,Owner 13,4,False
3548,247,Medium,Facilities,DSP,DSP 4.3.10,Synthetic finding 3548 in facilities category.,8,2023-10-23,2023-12-22,2023-12-18,Closed,False,Procedure not followed,Owner 07,4,False
3549,248,Low,Documentation,CAB,CAB 4.1.1,Synthetic finding 3549 in documentation category.,4,2021-10-22,2022-01-28,2022-01-01,Closed,False,Resource limitation,Owner 02,4,False
3550,248,Low,Documentation,ORG,ORG 1.5.7,Synthetic finding 3550 in documentation category.,3,2021-10-24,2022-02-04,2021-12-02,Closed,False,Process design,Owner 14,3,False
3551,248,Medium,Equipment,ORG,ORG 2.1.2,Synthetic finding 3551 in equipment category.,6,2021-10-25,2022-01-04,2021-12-02,Closed,True,Resource limitation,Owner 15,3,False
3552,248,High,Equipment,ORG,ORG 2.6.2,Synthetic finding 3552 in equipment category.,20,2021-10-26,2022-01-13,2021-12-05,Closed,False,Process design,Owner 06,5,False
3553,248,Medium,Facilities,CAB,CAB 2.2.12,Synthetic finding 3553 in facilities category.,4,2021-10-15,,2021-11-21,Overdue,False,Resource limitation,Owner 04,2,False
3554,248,Medium,Documentation,ORG,ORG 2.2.2,Synthetic finding 3554 in documentation category.,4,2021-10-14,2021-12-01,2021-11-17,Closed,False,Training gap,Owner 09,2,False
3555,248,Medium,Equipment,ORG,ORG 2.3.1,Synthetic finding 3555 in equipment category.,2,2021-10-15,2021-12-15,2022-01-11,Closed,False,Procedure not followed,Owner 14,1,True
3556,248,Critical,Human Factors,CAB,CAB 2.2.3,Synthetic finding 3556 in human factors category.,15,2021-10-14,,2021-11-15,Overdue,False,Resource limitation,Owner 05,3,False
3557,248,High,Documentation,ORG,ORG 3.3.2,Synthetic finding 3557 in documentation category.,16,2021-10-26,,2022-01-19,Overdue,False,Documentation gap,Owner 02,4,False
3558,248,High,Human Factors,ORG,ORG 2.1.7,Synthetic finding 3558 in human factors category.,12,2021-10-17,,2021-11-29,Overdue,False,Documentation gap,Owner 01,3,False
3559,248,High,Documentation,CAB,CAB 2.1.7,Synthetic finding 3559 in documentation category.,12,2021-10-18,2022-01-05,2022-01-07,Closed,False,Process design,Owner 02,3,True
3560,248,High,Documentation,ORG,ORG 1.7.7,Synthetic finding 3560 in documentation category.,12,2021-10-20,2022-02-20,2021-11-25,Closed,False,Documentation gap,Owner 19,3,False
3561,248,Low,Equipment,CAB,CAB 1.6.7,Synthetic finding 3561 in equipment category.,3,2021-10-19,2022-02-02,2021-12-17,Closed,False,Training gap,Owner 07,3,False
3562,248,Medium,Facilities,CAB,CAB 1.4.2,Synthetic finding 3562 in facilities category.,2,2021-10-21,2022-01-22,2022-01-17,Closed,True,Procedure not followed,Owner 08,1,False
3563,248,Medium,Human Factors,ORG,ORG 1.1.1,Synthetic finding 3563 in human factors category.,8,2021-10-22,,2022-01-07,Overdue,True,Training gap,Owner 03,4,False
3564,248,Low,Training,CAB,CAB 3.4.1,Synthetic finding 3564 in training category.,1,2021-10-24,2022-01-10,2022-01-14,Closed,False,Documentation gap,Owner 07,1,True
3565,248,Medium,Equipment,ORG,ORG 1.3.3,Synthetic finding 3565 in equipment category.,6,2021-10-23,2022-01-03,2021-12-21,Closed,False,Training gap,Owner 16,3,False
3566,248,Medium,Facilities,ORG,ORG 2.1.4,Synthetic finding 3566 in facilities category.,6,2021-10-24,2021-12-30,2021-12-14,Closed,False,Procedure not followed,Owner 08,3,False
3567,248,Critical,Documentation,ORG,ORG 2.5.1,Synthetic finding 3567 in documentation category.,25,2021-10-20,,2022-01-02,Overdue,False,Procedure not followed,Owner 04,5,False
3568,248,Low,Documentation,ORG,ORG 3.2.2,Synthetic finding 3568 in documentation category.,2,2021-10-19,2021-12-15,2021-12-01,Closed,False,Documentation gap,Owner 16,2,False
3569,248,Medium,Operations,CAB,CAB 3.4.11,Synthetic finding 3569 in operations category.,6,2021-10-24,2021-12-12,2021-12-13,Closed,False,Resource limitation,Owner 12,3,True
3570,248,Low,Human Factors,CAB,CAB 3.3.7,Synthetic finding 3570 in human factors category.,1,2021-10-23,2022-01-12,2022-01-19,Closed,False,Procedure not followed,Owner 09,1,True
3571,248,Medium,Facilities,CAB,CAB 3.2.9,Synthetic finding 3571 in facilities category.,6,2021-10-18,2021-12-28,2021-12-19,Closed,True,Training gap,Owner 07,3,False
3572,249,Critical,Facilities,SEC,SEC 4.3.2,Synthetic finding 3572 in facilities category.,20,2021-04-28,2021-07-23,2021-06-30,Closed,True,Resource limitation,Owner 12,4,False
3573,249,Medium,Facilities,SEC,SEC 3.4.5,Synthetic finding 3573 in facilities category.,6,2021-05-02,2021-06-24,2021-07-06,Closed,False,Resource limitation,Owner 06,3,True
3574,249,Medium,Training,ORG,ORG 3.3.5,Synthetic finding 3574 in training category.,4,2021-04-19,,2021-05-20,Overdue,False,Process design,Owner 10,2,False
3575,249,Low,Documentation,ORG,ORG 2.6.2,Synthetic finding 3575 in documentation category.,5,2021-04-30,2021-06-09,2021-06-01,Closed,True,Training gap,Owner 09,5,False
3576,249,Low,Facilities,SEC,SEC 3.8.1,Synthetic finding 3576 in facilities category.,3,2021-04-20,2021-06-28,2021-06-10,Closed,False,Resource limitation,Owner 05,3,False
3577,249,Low,Training,ORG,ORG 1.1.2,Synthetic finding 3577 in training category.,4,2021-04-23,2021-07-01,2021-07-21,Closed,False,Training gap,Owner 18,4,True
3578,249,High,Human Factors,SEC,SEC 1.11.2,Synthetic finding 3578 in human factors category.,12,2021-04-21,2021-06-16,2021-06-23,Closed,False,Documentation gap,Owner 06,3,True
3579,249,Low,Facilities,ORG,ORG 4.3.2,Synthetic finding 3579 in facilities category.,3,2021-04-20,2021-07-19,2021-06-29,Closed,False,Documentation gap,Owner 18,3,False
3580,249,Medium,Human Factors,SEC,SEC 3.4.5,Synthetic finding 3580 in human factors category.,6,2021-04-23,,2021-06-05,Overdue,False,Training gap,Owner 13,3,False
3581,249,Low,Facilities,SEC,SEC 1.6.3,Synthetic finding 3581 in facilities category.,5,2021-04-21,2021-06-29,2021-05-21,Closed,False,Training gap,Owner 13,5,False
3582,249,High,Equipment,ORG,ORG 2.5.4,Synthetic finding 3582 in equipment category.,12,2021-04-27,2021-06-06,2021-07-23,Closed,False,Procedure not followed,Owner 04,3,True
3583,249,High,Training,SEC,SEC 1.9.1,Synthetic finding 3583 in training category.,12,2021-04-19,2021-06-15,2021-07-01,Closed,False,Resource limitation,Owner 11,3,True
3584,249,High,Training,ORG,ORG 4.3.2,Synthetic finding 3584 in training category.,16,2021-04-21,2021-06-04,2021-07-16,Closed,False,Procedure not followed,Owner 18,4,True
3585,249,Medium,Equipment,SEC,SEC 2.1.4,Synthetic finding 3585 in equipment category.,10,2021-05-02,2021-06-15,2021-07-24,Closed,True,Process design,Owner 20,5,True
3586,249,Medium,Documentation,ORG,ORG 3.1.2,Synthetic finding 3586 in documentation category.,2,2021-04-21,,2021-06-08,Overdue,False,Resource limitation,Owner 06,1,False
3587,249,Low,Equipment,ORG,ORG 3.2.1,Synthetic finding 3587 in equipment category.,4,2021-05-02,2021-06-14,2021-07-07,Closed,False,Resource limitation,Owner 06,4,True
3588,249,Low,Human Factors,ORG,ORG 2.4.2,Synthetic finding 3588 in human factors category.,4,2021-04-30,2021-06-30,2021-06-11,Closed,True,Resource limitation,Owner 20,4,False
3589,249,Low,Operations,ORG,ORG 2.4.4,Synthetic finding 3589 in operations category.,2,2021-04-21,2021-06-11,2021-06-12,Closed,False,Resource limitation,Owner 19,2,True
3590,249,Medium,Equipment,ORG,ORG 1.3.2,Synthetic finding 3590 in equipment category.,6,2021-04-28,2021-06-14,2021-06-11,Closed,False,Process design,Owner 08,3,False
3591,249,Medium,Training,SEC,SEC 3.6.2,Synthetic finding 3591 in training category.,4,2021-04-24,,2021-06-17,Overdue,False,Resource limitation,Owner 11,2,False
3592,250,High,Human Factors,FLT,FLT 3.13.2,Synthetic finding 3592 in human factors category.,20,2023-02-26,2023-04-06,2023-05-09,Closed,False,Procedure not followed,Owner 16,5,True
3593,250,Medium,Operations,FLT,FLT 3.7.7,Synthetic finding 3593 in operations category.,10,2023-02-21,2023-04-01,2023-04-13,Closed,False,Documentation gap,Owner 07,5,True
3594,250,High,Operations,ORG,ORG 2.2.1,Synthetic finding 3594 in operations category.,12,2023-02-22,,2023-04-21,Overdue,False,Training gap,Owner 07,3,False
3595,250,Medium,Human Factors,FLT,FLT 3.11.16,Synthetic finding 3595 in human factors category.,8,2023-03-05,2023-04-14,2023-05-12,Closed,False,Procedure not followed,Owner 17,4,True
3596,250,Low,Operations,ORG,ORG 1.5.3,Synthetic finding 3596 in operations category.,5,2023-02-22,,2023-04-13,Overdue,False,Procedure not followed,Owner 19,5,False
3597,250,Medium,Human Factors,ORG,ORG 1.7.6,Synthetic finding 3597 in human factors category.,10,2023-02-21,2023-04-06,2023-04-23,Closed,False,Process design,Owner 20,5,True
3598,250,Low,Human Factors,DSP,DSP 4.3.16,Synthetic finding 3598 in human factors category.,1,2023-02-28,2023-03-29,2023-05-20,Closed,False,Documentation gap,Owner 14,1,True
3599,250,Medium,Documentation,DSP,DSP 3.5.2,Synthetic finding 3599 in documentation category.,8,2023-03-05,,2023-05-19,Overdue,False,Process design,Owner 16,4,False
3600,250,Low,Training,FLT,FLT 2.2.15,Synthetic finding 3600 in training category.,4,2023-02-28,2023-04-18,2023-05-08,Closed,False,Procedure not followed,Owner 04,4,True
3601,251,Low,Operations,MNT,MNT 2.10.1,Synthetic finding 3601 in operations category.,4,2024-10-25,2024-12-30,2025-01-08,Closed,False,Procedure not followed,Owner 07,4,True
3602,251,Low,Facilities,MNT,MNT 4.1.3,Synthetic finding 3602 in facilities category.,3,2024-10-29,2024-12-23,2025-01-07,Closed,True,Documentation gap,Owner 11,3,True
3603,251,Low,Training,MNT,MNT 2.3.3,Synthetic finding 3603 in training category.,2,2024-10-25,2024-12-14,2025-01-16,Closed,True,Training gap,Owner 16,2,True
3604,251,Medium,Facilities,MNT,MNT 2.2.2,Synthetic finding 3604 in facilities category.,8,2024-10-28,2024-12-06,2025-01-20,Closed,False,Documentation gap,Owner 09,4,True
3605,251,Low,Equipment,MNT,MNT 1.3.3,Synthetic finding 3605 in equipment category.,1,2024-10-27,,2024-12-29,Overdue,False,Training gap,Owner 15,1,False
3606,251,High,Equipment,MNT,MNT 3.2.2,Synthetic finding 3606 in equipment category.,16,2024-10-26,2024-11-09,2024-12-11,Closed,False,Resource limitation,Owner 17,4,True
3607,251,Low,Operations,MNT,MNT 1.9.2,Synthetic finding 3607 in operations category.,5,2024-10-23,,2024-11-29,Overdue,False,Procedure not followed,Owner 07,5,False
3608,251,Low,Operations,ORG,ORG 2.4.2,Synthetic finding 3608 in operations category.,2,2024-10-25,,2025-01-17,Open,False,Resource limitation,Owner 05,2,False
3609,251,High,Operations,MNT,MNT 1.7.3,Synthetic finding 3609 in operations category.,12,2024-10-27,2024-12-26,2024-12-27,Closed,False,Process design,Owner 16,3,True
3610,251,Low,Human Factors,ORG,ORG 4.3.1,Synthetic finding 3610 in human factors category.,5,2024-10-29,2024-12-31,2025-01-09,Closed,False,Process design,Owner 20,5,True
3611,252,Low,Training,FLT,FLT 3.11.62,Synthetic finding 3611 in training category.,4,2021-10-01,2021-12-24,2021-12-26,Closed,False,Training gap,Owner 10,4,True
3612,252,High,Operations,ORG,ORG 1.2.1,Synthetic finding 3612 in operations category.,16,2021-10-06,,2021-12-11,Overdue,False,Process design,Owner 19,4,False
3613,252,Medium,Operations,DSP,DSP 3.5.3,Synthetic finding 3613 in operations category.,10,2021-10-03,2021-12-23,2021-12-22,Closed,False,Resource limitation,Owner 18,5,False
3614,252,Low,Equipment,ORG,ORG 3.3.4,Synthetic finding 3614 in equipment category.,3,2021-10-08,2022-01-03,2021-11-27,Closed,False,Procedure not followed,Owner 10,3,False
3615,252,High,Training,FLT,FLT 2.2.35,Synthetic finding 3615 in training category.,12,2021-10-04,,2021-12-09,Overdue,True,Process design,Owner 05,3,False
3616,252,Medium,Documentation,DSP,DSP 4.5.3,Synthetic finding 3616 in documentation category.,6,2021-10-07,2021-12-24,2021-11-23,Closed,False,Process design,Owner 17,3,False
3617,252,High,Facilities,FLT,FLT 1.2.1,Synthetic finding 3617 in facilities category.,20,2021-10-07,2021-12-04,2021-12-19,Closed,False,Resource limitation,Owner 04,5,True
3618,252,Medium,Documentation,FLT,FLT 1.4.1,Synthetic finding 3618 in documentation category.,8,2021-10-11,2022-01-18,2021-11-19,Closed,False,Training gap,Owner 01,4,False
3619,252,High,Human Factors,ORG,ORG 1.2.2,Synthetic finding 3619 in human factors category.,16,2021-10-08,2021-11-17,2022-01-02,Closed,True,Procedure not followed,Owner 16,4,True
3620,252,Low,Human Factors,ORG,ORG 3.1.3,Synthetic finding 3620 in human factors category.,2,2021-10-03,2021-11-25,2021-11-13,Closed,True,Training gap,Owner 05,2,False
3621,252,High,Documentation,ORG,ORG 3.3.3,Synthetic finding 3621 in documentation category.,12,2021-10-01,2021-11-26,2021-12-09,Closed,True,Training gap,Owner 14,3,True
3622,252,Medium,Equipment,FLT,FLT 3.11.50B,Synthetic finding 3622 in equipment category.,10,2021-10-06,,2022-01-01,Overdue,False,Procedure not followed,Owner 03,5,False
3623,252,High,Operations,FLT,FLT 2.4.1,Synthetic finding 3623 in operations category.,12,2021-10-03,2021-12-29,2021-12-25,Closed,False,Training gap,Owner 03,3,False
3624,252,Low,Facilities,DSP,DSP 1.5.6,Synthetic finding 3624 in facilities category.,4,2021-10-06,2021-12-13,2021-12-31,Closed,False,Procedure not followed,Owner 01,4,True
3625,252,Low,Equipment,DSP,DSP 1.10.2,Synthetic finding 3625 in equipment category.,4,2021-09-30,2021-12-25,2021-11-01,Closed,False,Procedure not followed,Owner 05,4,False
3626,252,Low,Training,ORG,ORG 1.1.2,Synthetic finding 3626 in training category.,4,2021-10-01,,2021-12-18,Overdue,True,Documentation gap,Owner 11,4,False
3627,252,Low,Documentation,FLT,FLT 3.10.4,Synthetic finding 3627 in documentation category.,1,2021-10-11,2021-12-03,2021-11-16,Closed,False,Resource limitation,Owner 04,1,False
3628,252,Low,Facilities,DSP,DSP 3.2.4,Synthetic finding 3628 in facilities category.,3,2021-10-11,,2021-12-01,Overdue,False,Documentation gap,Owner 10,3,False
3629,252,Medium,Documentation,DSP,DSP 4.3.9,Synthetic finding 3629 in documentation category.,4,2021-10-10,2021-12-01,2021-12-26,Closed,False,Process design,Owner 03,2,True
3630,253,Low,Facilities,SEC,SEC 4.1.3,Synthetic finding 3630 in facilities category.,5,2023-03-28,2023-05-06,2023-06-23,Closed,True,Procedure not followed,Owner 20,5,True
3631,253,Medium,Facilities,SEC,SEC 1.11.4,Synthetic finding 3631 in facilities category.,10,2023-04-02,,2023-05-10,Overdue,False,Documentation gap,Owner 17,5,False
3632,253,Low,Documentation,ORG,ORG 2.6.1,Synthetic finding 3632 in documentation category.,5,2023-03-28,2023-05-08,2023-06-08,Closed,False,Training gap,Owner 18,5,True
3633,253,Low,Human Factors,SEC,SEC 1.6.4,Synthetic finding 3633 in human factors category.,1,2023-04-02,2023-05-02,2023-05-03,Closed,False,Procedure not followed,Owner 12,1,True
3634,253,Low,Equipment,SEC,SEC 2.1.4,Synthetic finding 3634 in equipment category.,3,2023-03-29,2023-05-19,2023-06-04,Closed,False,Procedure not followed,Owner 02,3,True
3635,253,Medium,Human Factors,ORG,ORG 1.5.6,Synthetic finding 3635 in human factors category.,2,2023-04-02,2023-05-26,2023-05-06,Closed,False,Procedure not followed,Owner 05,1,False
3636,253,Medium,Facilities,ORG,ORG 4.3.2,Synthetic finding 3636 in facilities category.,2,2023-04-04,,2023-05-19,Overdue,False,Training gap,Owner 06,1,False
3637,253,Critical,Human Factors,ORG,ORG 3.3.4,Synthetic finding 3637 in human factors category.,20,2023-03-28,2023-04-11,2023-06-08,Closed,False,Process design,Owner 02,4,True
3638,253,Medium,Equipment,ORG,ORG 4.3.1,Synthetic finding 3638 in equipment category.,4,2023-04-01,,2023-05-26,Overdue,False,Procedure not followed,Owner 10,2,False
3639,253,Low,Training,ORG,ORG 3.1.3,Synthetic finding 3639 in training category.,5,2023-04-07,,2023-06-12,Overdue,False,Procedure not followed,Owner 15,5,False
3640,253,Low,Training,SEC,SEC 1.1.1,Synthetic finding 3640 in training category.,5,2023-04-03,,2023-05-12,Overdue,True,Resource limitation,Owner 07,5,False
3641,253,Medium,Documentation,ORG,ORG 1.5.2,Synthetic finding 3641 in documentation category.,4,2023-04-03,2023-05-18,2023-05-30,Closed,False,Documentation gap,Owner 17,2,True
3642,253,Critical,Equipment,ORG,ORG 4.1.2,Synthetic finding 3642 in equipment category.,20,2023-04-03,2023-06-10,2023-05-17,Closed,True,Documentation gap,Owner 10,4,False
3643,253,High,Equipment,ORG,ORG 4.2.1,Synthetic finding 3643 in equipment category.,12,2023-03-29,,2023-05-27,Overdue,False,Documentation gap,Owner 13,3,False
3644,253,Medium,Human Factors,SEC,SEC 1.12.2,Synthetic finding 3644 in human factors category.,6,2023-04-01,2023-05-18,2023-06-05,Closed,False,Procedure not followed,Owner 07,3,True
3645,253,Low,Facilities,ORG,ORG 2.5.4,Synthetic finding 3645 in facilities category.,4,2023-04-05,2023-05-20,2023-06-04,Closed,True,Procedure not followed,Owner 06,4,True
3646,253,Low,Operations,SEC,SEC 3.1.3,Synthetic finding 3646 in operations category.,4,2023-03-28,2023-04-14,2023-06-10,Closed,True,Procedure not followed,Owner 04,4,True
3647,253,Medium,Training,ORG,ORG 1.5.6,Synthetic finding 3647 in training category.,2,2023-04-06,,2023-06-24,Overdue,False,Resource limitation,Owner 04,1,False
3648,253,Low,Human Factors,ORG,ORG 2.5.4,Synthetic finding 3648 in human factors category.,5,2023-03-28,2023-04-24,2023-06-03,Closed,False,Resource limitation,Owner 18,5,True
3649,253,Low,Equipment,SEC,SEC 4.1.2,Synthetic finding 3649 in equipment category.,1,2023-04-08,2023-06-16,2023-05-25,Closed,False,Documentation gap,Owner 03,1,False
3650,253,Low,Human Factors,ORG,ORG 2.4.3,Synthetic finding 3650 in human factors category.,3,2023-04-08,2023-05-11,2023-06-02,Closed,False,Training gap,Owner 07,3,True
3651,253,Low,Operations,SEC,SEC 1.12.2,Synthetic finding 3651 in operations category.,5,2023-04-05,,2023-05-19,Overdue,False,Procedure not followed,Owner 16,5,False
3652,254,Low,Training,ORG,ORG 1.1.1,Synthetic finding 3652 in training category.,4,2024-08-20,2024-10-05,2024-10-09,Closed,True,Procedure not followed,Owner 16,4,True
3653,254,Medium,Human Factors,ORG,ORG 3.1.4,Synthetic finding 3653 in human factors category.,2,2024-08-27,2024-10-02,2024-11-22,Closed,False,Documentation gap,Owner 17,1,True
3654,254,Low,Documentation,ORG,ORG 3.6.1,Synthetic finding 3654 in documentation category.,3,2024-08-16,2024-10-20,2024-11-07,Closed,False,Procedure not followed,Owner 18,3,True
3655,254,Low,Equipment,ORG,ORG 2.1.4,Synthetic finding 3655 in equipment category.,1,2024-08-28,2024-10-08,2024-11-07,Closed,True,Documentation gap,Owner 05,1,True
3656,254,Critical,Facilities,ORG,ORG 3.2.2,Synthetic finding 3656 in facilities category.,25,2024-08-24,,2024-11-01,Overdue,False,Process design,Owner 15,5,False
3657,254,Low,Facilities,ORG,ORG 4.3.1,Synthetic finding 3657 in facilities category.,2,2024-08-29,2024-10-09,2024-10-20,Closed,False,Process design,Owner 08,2,True
3658,254,Low,Equipment,ORG,ORG 3.1.1,Synthetic finding 3658 in equipment category.,4,2024-08-23,,2024-10-02,Overdue,False,Procedure not followed,Owner 15,4,False
3659,254,Low,Human Factors,ORG,ORG 2.1.8,Synthetic finding 3659 in human factors category.,1,2024-08-18,2024-09-25,2024-09-20,Closed,False,Process design,Owner 01,1,False
3660,254,Medium,Facilities,ORG,ORG 3.1.3,Synthetic finding 3660 in facilities category.,2,2024-08-28,2024-09-17,2024-11-04,Closed,False,Procedure not followed,Owner 20,1,True
3661,255,Low,Documentation,CGO,CGO 1.6.2,Synthetic finding 3661 in documentation category.,2,2022-09-13,2022-11-30,2022-10-31,Closed,False,Documentation gap,Owner 15,2,False
3662,255,Low,Human Factors,ORG,ORG 2.1.5,Synthetic finding 3662 in human factors category.,4,2022-09-03,2022-12-03,2022-10-27,Closed,False,Procedure not followed,Owner 14,4,False
3663,255,High,Training,CGO,CGO 1.9.3,Synthetic finding 3663 in training category.,16,2022-09-01,2022-12-10,2022-10-02,Closed,True,Resource limitation,Owner 08,4,False
3664,255,Medium,Equipment,ORG,ORG 2.2.3,Synthetic finding 3664 in equipment category.,10,2022-09-09,2022-10-18,2022-10-26,Closed,False,Resource limitation,Owner 10,5,True
3665,255,Low,Training,ORG,ORG 1.7.5,Synthetic finding 3665 in training category.,1,2022-09-11,,2022-10-14,Overdue,False,Resource limitation,Owner 15,1,False
3666,255,High,Operations,ORG,ORG 1.7.10,Synthetic finding 3666 in operations category.,12,2022-09-09,,2022-11-02,Overdue,False,Procedure not followed,Owner 02,3,False
3667,255,Low,Equipment,ORG,ORG 2.5.3,Synthetic finding 3667 in equipment category.,1,2022-09-08,2022-12-04,2022-11-04,Closed,False,Training gap,Owner 04,1,False
3668,255,High,Documentation,CGO,CGO 3.2.13,Synthetic finding 3668 in documentation category.,12,2022-09-02,,2022-10-08,Overdue,False,Documentation gap,Owner 01,3,False
3669,255,Low,Human Factors,ORG,ORG 4.2.1,Synthetic finding 3669 in human factors category.,2,2022-09-13,2022-11-03,2022-12-03,Closed,False,Documentation gap,Owner 08,2,True
3670,255,Medium,Equipment,CGO,CGO 3.2.6,Synthetic finding 3670 in equipment category.,10,2022-09-06,2022-11-23,2022-11-12,Closed,False,Resource limitation,Owner 19,5,False
3671,255,High,Training,CGO,CGO 1.6.2,Synthetic finding 3671 in training category.,16,2022-09-13,,2022-10-14,Overdue,False,Process design,Owner 02,4,False
3672,255,Medium,Training,CGO,CGO 3.2.3,Synthetic finding 3672 in training category.,2,2022-09-12,2023-01-29,2022-12-03,Closed,False,Procedure not followed,Owner 14,1,False
3673,255,Medium,Documentation,ORG,ORG 1.6.2,Synthetic finding 3673 in documentation category.,10,2022-09-05,2022-10-09,2022-11-27,Closed,False,Documentation gap,Owner 15,5,True
3674,255,Low,Human Factors,ORG,ORG 1.7.3,Synthetic finding 3674 in human factors category.,1,2022-09-03,2022-10-27,2022-10-19,Closed,False,Documentation gap,Owner 07,1,False
3675,255,Low,Facilities,CGO,CGO 3.7.4,Synthetic finding 3675 in facilities category.,2,2022-09-05,2022-10-27,2022-10-31,Closed,False,Process design,Owner 15,2,True
3676,255,Medium,Operations,ORG,ORG 3.3.3,Synthetic finding 3676 in operations category.,10,2022-09-05,2022-10-25,2022-11-16,Closed,False,Training gap,Owner 16,5,True
3677,255,Low,Facilities,ORG,ORG 1.1.4,Synthetic finding 3677 in facilities category.,2,2022-09-05,2022-11-22,2022-10-12,Closed,False,Resource limitation,Owner 10,2,False
3678,255,Low,Operations,CGO,CGO 3.2.3,Synthetic finding 3678 in operations category.,1,2022-09-07,2022-11-20,2022-10-15,Closed,False,Resource limitation,Owner 01,1,False
3679,255,High,Documentation,ORG,ORG 1.1.3,Synthetic finding 3679 in documentation category.,12,2022-09-05,2022-11-09,2022-11-12,Closed,False,Resource limitation,Owner 09,3,True
3680,255,High,Human Factors,CGO,CGO 3.2.6,Synthetic finding 3680 in human factors category.,16,2022-09-09,2022-12-19,2022-11-01,Closed,False,Documentation gap,Owner 14,4,False
3681,256,Low,Facilities,DSP,DSP 4.3.16,Synthetic finding 3681 in facilities category.,2,2024-10-22,2024-12-15,2024-11-24,Closed,False,Resource limitation,Owner 07,2,False
3682,256,Low,Facilities,GRH,GRH 3.2.10,Synthetic finding 3682 in facilities category.,5,2024-10-22,2024-12-04,2024-12-12,Closed,True,Procedure not followed,Owner 15,5,True
3683,256,Low,Operations,ORG,ORG 1.4.2,Synthetic finding 3683 in operations category.,4,2024-10-16,2024-11-08,2024-12-25,Closed,False,Training gap,Owner 02,4,True
3684,256,Low,Operations,GRH,GRH 3.3.4,Synthetic finding 3684 in operations category.,4,2024-10-16,2024-12-13,2024-11-24,Closed,False,Procedure not followed,Owner 15,4,False
3685,256,Low,Facilities,DSP,DSP 4.3.8,Synthetic finding 3685 in facilities category.,4,2024-10-22,2024-11-25,2024-12-17,Closed,False,Documentation gap,Owner 19,4,True
